no,theme_en,theme_ja,title_en,title_ja,spiritual_meaning,positive,reverse,spiritual_level,daily_level,description,url_positive,url_reverse
1,Gateway,ゲートウェイ,,,Initiation / Time of Transition / Turning Point,The Beginning / Focus Point / Entry / A New Phase,Breaking Old Agreements / Stagnation / Resistance to the Self / Blockage,The Path Between Dimensions,Gateway / Entrance,"We enter the dimension of the Sun and Moon through one of the 12 Logos. This card symbolizes the beginning of each soul's journey in this dimension. The sun is embraced by an upward-facing crescent moon, and the central circle represents the Logos. Attached to the circle representing the Logos are space, time, and consciousness. The two symmetrically depicted torches are two souls combined to radiate Christ consciousness into this third dimension. First, the united souls each form an incarnation (timeline) on Earth as an Oversoul, and then radiate Christ consciousness through the seven bodies, which are the human experience itself. The heptagram is the symbol of the seven bodies. The bisected pyramid with the all-seeing eye is the Akashic Records and the Book of Life. The Akashic symbol drawn on the central horizontal line represents the fundamental purpose of each soul when residing in human form. That is to radiate the energy of JOY into the reality of this dimension. The letter inside the triangle is the symbol of the lineage of the Knowing Way, representing the path of truth and light, and the number 1 indicates the arrival of a new opportunity and a beginning.",https://drive.google.com/file/d/1b2s5fzuy_vL3GcPesMkIc9Kv0uS0PQww,https://drive.google.com/file/d/1OIQWtUIfP2pkXQ_McqviZkt37K3u9aE_/view?usp=sharing
2,Balance,バランス,,,The Middle Way / Neither Here Nor There,Neutral / Unbiased / Centered,"Controlling Fundamental Forces to Achieve Intentions / Conflict, Bias / Ungrounded / Caught in Drama",Knowing Beyond the Need for Balance,Equalizing Opposing Forces to Embody True Balance,"Ten sequential pentagrams lead to a central hexagram representing balanced masculine and feminine energies. The mystical, masculine oval on the left is perfectly balanced with the honeycomb-like feminine yoni on the right. Below, the purpose of both is depicted, with masculine and feminine represented by the exact same symbol. Perseus is the masculine, and Pegasus is the feminine. As combined souls, we naturally seek partnership in expressing and observing ourselves. This is most easily achieved through consistency (feminine) and decision (masculine). After Perseus is banished to a world where achievement is demanded, the masculine and feminine roles reverse. Through the divine intervention of Pegasus, Perseus is able to complete his path. To do so, Perseus must set aside his fragile ego and allow Pegasus to carry him. Having fulfilled their destiny to become a single expressive entity, the two are depicted calmly in the center of the card. The character symbols on the left and right are the balanced resonance of animal and divine power. The triangle at the bottom shows the ratio of power and force balanced within monism and dualism.",https://drive.google.com/file/d/1CU5L8iXRiFtpSMil-UOyRtz6qidCCDrr/view?usp=sharing,https://drive.google.com/file/d/1Z_J-05WaoUbNZUrMqq84vi0NoQKgGqBd/view?usp=sharing
3,Consciousness,意識,,,Mindfulness / Expansion of Mind / Eternal Wisdom,Intuition / Knowing / Revelation,Relying Only on Sensory Consciousness / Contracting Mind / Narrow Perspective / Dulled Intellect,Expansion of Precognition,Perception,"To be human is to combine eternal soul consciousness with the evolving sensory consciousness (spirit) of the body. When fully realized, eternal soul consciousness and evolving sensory consciousness cooperate to hold sovereignty over all energy forms in the reality of this dimension. At the moment of creation, the eternal energy body known as the soul is born, and it never ends. The soul transcends the limits of time and space. Therefore, the soul recognizes the Universal Mind as its guide. Soul consciousness retains the energy of every moment it has observed in Creation. The crown embracing the triangle represents the divine source from which consciousness was born. The triangle indicates that consciousness consists of three aspects. The yantra with color-inverted lotus flowers on the left and right, a symbol of balanced consciousness, represents two souls combined to create human consciousness. Consciousness as a human being is represented by the symbol in the center of the card. This single particle of consciousness contains the entire story of Creation within it. The lion represents time in the dimension of the Sun and Moon, and the stairs are symbols of the four ages that human civilization has experienced so far.",https://drive.google.com/file/d/1OFKGqgsiiBHygAZE7tBRuST90F9b4TzA/view?usp=sharing,https://drive.google.com/file/d/198KPy4rcYkq2iAkuA88urQrVo3IMVPWi/view?usp=sharing
4,Oversoul,オーバーソウル,,,Pairing / Integrated Collaboration,Guardian spirit of reincarnation / Sense of macro,"Sense of isolation, separation from all that is great, sense of micro",Unity in time and space,Integration of beliefs,"Two eternal souls with very similar harmonics combine to observe life forms in the dimension of Earth. At that time, each soul creates and exists as an Oversoul. The Oversoul knows that the 'time and space' in observation are a direct observation of the souls of themselves combined. It knows that all reincarnations are expressions of their own harmonics, and that they all exist simultaneously on linear time. In this state, the Oversoul reincarnates into each life as a way to integrate all observations. By setting one reincarnation as the primary timeline, it observes and directs other reincarnations from a single point of view of reality in this dimension. The crown chakra of the Oversoul is located at the point where the universe with 12 intelligences is connected. This is macro wisdom. In this state, the Oversoul connects with all that is great and accesses the intelligence of the Universal Mind. Awakened human beings who have reached enlightenment become a bridge connecting the hexagonal Akasha and the Universal Mind of 'creation' through the chakra system of the physical body. The letters drawn on this card represent alpha and omega, that is, the beginning and the end.",https://drive.google.com/file/d/1oP2G5hdUqU_D0vzZ_DxQj0UaxfRgTj_b/view?usp=sharing,https://drive.google.com/file/d/1zksB4XHKH8iaG_yoMUwzls-8TBdrG7aL/view?usp=sharing
5,Origins,始原,,,Manifestation of reality,"Dimension of home, starting point, zero point","Lack of determination to manifest intention, self-destruction, self-sabotage",The moment of the beginning of creation,Existing in the present moment without conflict,"The role of the eternal unchanging soul is to observe creation in dimensions in preparation for becoming a creator itself. The soul first selects the dimensional world to reincarnate into, and dwells in a body that can merge with the energy of that star system. That star becomes the home for the eternal soul. The soul contrasts the reality of all other dimensions it has stayed in with the reality of this home. The soul's original harmonics appear in different forms in each star system, and 'all that is great' provides the opportunity to perfectly observe creation. The upper circle is the boundary of this universe, and the Flower of Life surrounded by the circle is the creation of this universe itself. The two pillars on both sides represent consciousness in universal reality. Above the left pillar is the combined symbol of masculinity and femininity, and above the right pillar is a single star. Sitting on top of the inverted triangle-shaped masculine symbol with time and space and consciousness attached is a pregnant female Buddha. This represents that the state at the moment of beginning and the evolving energy are equivalent. Inside the symbol, a man is drawn overlapping a pentagram. It symbolizes the intention of consciousness in the physical world to 'govern time and space'.",https://drive.google.com/file/d/1ETGAN5giHbBnq35IrULQMhmTSdq84pCC/view?usp=sharing,https://drive.google.com/file/d/1fKDfXbnKjt9M3fPwPIuqSmQTDYIqRNVN/view?usp=sharing
6,Matrimony,婚姻,,,"Joy and sorrow, intimacy, familiarity / nostalgia","Integration, connection, inclusion, becoming companions, mixing together","Inappropriate union, division of agreement, isolation, anti-sociality, coldness",Combined eternal soul forming a Twin Flame,Requiring a strategic alliance,"To reincarnate into a dimension with time and space, the soul needs to combine with another soul that has very similar harmonics. The dove bringing its face close to the center of the silver earth symbolizes this. Combining prevents the soul from falling into the pitfalls of the real world. The soul can safely return to the spiritual dimension. The man and woman are wearing beautiful costumes, and the youthful trumpeter announces their marriage. The wall is a symbol of the path they walk together in time and space. The Celtic knot ties together the dualistic aspects of 'joy and sorrow' that marriage will bring. This card also represents personal relationships between people. Intimacy plays an important role in human relationships, which are places for mutual energy exchange. Such sharing also applies to people who care for each other having shared past lives, or people who share something like having the same interests at present. Even in society, the expression 'to marry' is used with ideas, ideals, and causes raised by closely connected communities.",https://drive.google.com/file/d/1GiE8mJWkhhCSNhXOwCpV8bf9G2ODkZpN/view?usp=sharing,https://drive.google.com/file/d/1YPW6vR6z7262_E8PM8uISWeHLYPAKFFr/view?usp=sharing
7,Guides,ガイド,,,"Awakened cooperative system, conscious partnership","Cooperation, support, purpose","Reckless independence, egocentricity, disapproval, non-acceptance",Selfless support,Leader / Guide,"When we come to Earth, we first pass through one of the 12 Logos. Then we combine with another soul to begin the primary reincarnation. The characteristics of the Logos we chose to pass through will also affect other reincarnations created by our Oversoul while we exist on Earth. Also, each time we reincarnate, the Oversoul selects beings to guide us in advance. The group of guides usually changes for each reincarnation, and consists of Earth-born soul beings, avatars, angelic beings, and elemental beings. These watchers, guardian beings, and helpers pilot us in various ways as we proceed together through the maze of time and space. They undoubtedly help us who live our lives reacting to our choices. Seven helpers surround a child standing on the maze. One of them represents the Logos passed through when coming to Earth. The four-axis wheel symbolizes purpose, and the three swirls symbolize the mission of the soul. That is to observe this world without prejudice through body, mind, and spirit. The symbol drawn below will open your consciousness to a meditative state where you can consciously interact with your guides.",https://drive.google.com/file/d/1Dzauez_IYYesdKGVrJs5tMdPo3Rvw7jX/view?usp=sharing,https://drive.google.com/file/d/1dP1nn-XA3HPBovBX6SFJLlcjLUcu-LER/view?usp=sharing
8,Survival,生き残り,,,"Grounding, focused vision","Strategy, goal, patience / result","Lack of resolution and motivation, lack of direction, short-sighted, rash and indiscreet, limited",Patience / Endurance,Strategy,"The sensory consciousness of the human physical body has an urge to constantly continue to exist in time and space so that humanity can advance further. From a very young age, we are taught strategies for survival. And we continue to use those behavioral tactics throughout our lives. When the evolving spirit of humans, which is the sensory consciousness of the continuing physical body, discovers that it cannot survive without a soul, a very deep core conflict is born there. This core conflict is symbolized by the soul, represented by the Aztec figure in the center of the card, being connected to a human fetus. The two pyramids drawn with a comet flowing from the Pleiades to our solar system are the past and the future. The five palm trees are the five civilizations that have developed since the soul began to dwell in Earthly forms. This card is also a card of patience. The power to thrive even in adversity - the ability not to lose individual wisdom even when adversity blows in the environment or society. Having your feet firmly on the ground and not losing yourself can be said to be true patience.",https://drive.google.com/file/d/1AUM-xt-G6wuVH6ILrpZGDXejsl1ktvpY/view?usp=sharing,https://drive.google.com/file/d/1Dtj8P_k-NXB8pUmuMVCOi5-Ny1O52UCg/view?usp=sharing
9,Sovereignty,自主独立,,,Power / Focus of intent,"Centered, aligned, focused, confident","Misguided use of power, scattered focus",Manifestation through focused intent,Directing life force energy,"True power lies in the alignment of one's physical reality with the soul's divine intent. By focusing attention on a singular goal, energy flows without resistance. This card represents the channeling of universal life force to create tangible results in the physical dimension. When focused and grounded, human beings act as conduits for higher consciousness. This alignment empowers the individual to act decisively, bringing abstract ideas into material existence.",https://drive.google.com/file/d/1AtTuFHssT-_UsznGJ4_BMNH4gApQLzHH/view?usp=sharing,https://drive.google.com/file/d/1Q9aJGI8HwKtUFasb8ZcMSb-79bu3zA74/view?usp=sharing
10,Hereafter,ここから先,,,Transition / Evolution of consciousness,"Adaptability, embracing change, moving forward","Fear of the unknown, stagnation, clinging to the past",Ascension of the soul,Navigating life changes,"Evolution requires the willingness to let go of old forms and embrace the new. The soul is constantly expanding through experiences in time and space. This card signifies a critical juncture where consciousness shifts to a higher frequency. It encourages embracing the unknown, trusting the guidance of the Oversoul, and allowing transformation to unfold naturally.",https://drive.google.com/file/d/1-V-VXZkn9oMaewHcJTFzWRgpXd3uR91g/view?usp=sharing,https://drive.google.com/file/d/1Ve3PN-Cu1Ntb2bZ4SzsPffUAhU1VfN3w/view?usp=sharing
